Coin,Price,Time
CRO/USDT,0.4568,2022-01-14 19:00:55.369316+00:00
SOL/USDT,146.941,2022-01-14 19:00:56.601242+00:00
UNI/USDT,15.6592,2022-01-14 19:00:57.816793+00:00
ZEC/USDT,142.997,2022-01-14 19:01:00.705382+00:00
XMR/USDT,224.6,2022-01-14 19:01:03.097503+00:00
FIL/USDT,29.4218,2022-01-14 19:01:05.516394+00:00
BTC/USDT,43321.3,2022-01-15 19:00:49.188944+00:00
ETH/USDT,3343.97,2022-01-15 19:00:51.280460+00:00
ADA/USDT,1.281479,2022-01-15 19:00:52.626108+00:00
CRO/USDT,0.4695,2022-01-15 19:00:54.117336+00:00
SOL/USDT,147.561,2022-01-15 19:00:55.343840+00:00
UNI/USDT,16.4765,2022-01-15 19:00:56.573364+00:00
ZEC/USDT,144.972,2022-01-15 19:00:58.221491+00:00
XMR/USDT,218.77,2022-01-15 19:01:00.233299+00:00
FIL/USDT,30.2107,2022-01-15 19:01:02.005507+00:00
BTC/USDT,43076.6,2022-01-16 19:00:49.397510+00:00
ETH/USDT,3349.08,2022-01-16 19:00:50.913293+00:00
ADA/USDT,1.404795,2022-01-16 19:00:52.333381+00:00
CRO/USDT,0.4643,2022-01-16 19:00:53.574553+00:00
SOL/USDT,148.793,2022-01-16 19:00:55.158414+00:00
UNI/USDT,17.9628,2022-01-16 19:00:56.610402+00:00
ZEC/USDT,141.23,2022-01-16 19:00:57.877317+00:00
XMR/USDT,221.9,2022-01-16 19:00:59.469346+00:00
FIL/USDT,30.7287,2022-01-16 19:01:00.824088+00:00
BTC/USDT,42199.8,2022-01-17 19:00:58.145591+00:00
ETH/USDT,3220.46,2022-01-17 19:00:59.581666+00:00
ADA/USDT,1.535304,2022-01-17 19:01:01.198513+00:00
CRO/USDT,0.4417,2022-01-17 19:01:04.821457+00:00
SOL/USDT,139.435,2022-01-17 19:01:06.686820+00:00
UNI/USDT,16.6551,2022-01-17 19:01:08.500800+00:00
ZEC/USDT,138.069,2022-01-17 19:01:11.817484+00:00
XMR/USDT,216.76,2022-01-17 19:01:15.521488+00:00
FIL/USDT,29.1737,2022-01-17 19:01:17.745457+00:00
BTC/USDT,41623.2,2022-01-18 19:00:52.401601+00:00
ETH/USDT,3109.51,2022-01-18 19:00:54.193377+00:00
ADA/USDT,1.432601,2022-01-18 19:00:55.684781+00:00
CRO/USDT,0.4375,2022-01-18 19:00:57.105456+00:00
SOL/USDT,136.006,2022-01-18 19:00:58.377371+00:00
UNI/USDT,15.7309,2022-01-18 19:01:00.625938+00:00
ZEC/USDT,129.521,2022-01-18 19:01:02.237382+00:00
XMR/USDT,200.51,2022-01-18 19:01:03.921867+00:00
FIL/USDT,27.8937,2022-01-18 19:01:05.335337+00:00
BTC/USDT,42019.3,2022-01-19 19:00:58.177497+00:00
ETH/USDT,3139.47,2022-01-19 19:00:59.780596+00:00
ADA/USDT,1.397768,2022-01-19 19:01:00.991363+00:00
CRO/USDT,0.4338,2022-01-19 19:01:02.387836+00:00
SOL/USDT,136.933,2022-01-19 19:01:04.473300+00:00
UNI/USDT,15.5507,2022-01-19 19:01:05.893516+00:00
ZEC/USDT,127.66,2022-01-19 19:01:08.317530+00:00
XMR/USDT,207.75,2022-01-19 19:01:11.317401+00:00
FIL/USDT,27.9768,2022-01-19 19:01:14.794968+00:00
BTC/USDT,42862.3,2022-01-20 19:00:55.633518+00:00
ETH/USDT,3210.56,2022-01-20 19:00:56.896765+00:00
ADA/USDT,1.381926,2022-01-20 19:00:58.138762+00:00
CRO/USDT,0.4624,2022-01-20 19:00:59.378269+00:00
SOL/USDT,140.054,2022-01-20 19:01:00.875439+00:00
UNI/USDT,15.7862,2022-01-20 19:01:02.185433+00:00
ZEC/USDT,128.855,2022-01-20 19:01:04.261410+00:00
XMR/USDT,204.18,2022-01-20 19:01:05.807901+00:00
FIL/USDT,28.1301,2022-01-20 19:01:07.300943+00:00
BTC/USDT,38310.5,2022-01-21 19:00:53.237515+00:00
ETH/USDT,2772.63,2022-01-21 19:00:54.633401+00:00
ADA/USDT,1.194551,2022-01-21 19:00:56.061256+00:00
CRO/USDT,0.396,2022-01-21 19:00:58.366552+00:00
SOL/USDT,124.148,2022-01-21 19:00:59.928758+00:00
UNI/USDT,13.9287,2022-01-21 19:01:01.219707+00:00
ZEC/USDT,112.162,2022-01-21 19:01:03.009526+00:00
XMR/USDT,181.88,2022-01-21 19:01:04.521441+00:00
FIL/USDT,24.2593,2022-01-21 19:01:06.177398+00:00
BTC/USDT,34455.2,2022-01-22 19:00:56.423412+00:00
ETH/USDT,2338.82,2022-01-22 19:00:57.843387+00:00
ADA/USDT,1.041274,2022-01-22 19:00:59.053362+00:00
CRO/USDT,0.3316,2022-01-22 19:01:00.260540+00:00
SOL/USDT,90.472,2022-01-22 19:01:01.470012+00:00
UNI/USDT,10.892,2022-01-22 19:01:03.261507+00:00
ZEC/USDT,89.334,2022-01-22 19:01:04.893460+00:00
XMR/USDT,147.45,2022-01-22 19:01:06.301692+00:00
FIL/USDT,18.4845,2022-01-22 19:01:07.885496+00:00
BTC/USDT,35040.0,2022-01-23 19:00:51.421480+00:00
ETH/USDT,2423.19,2022-01-23 19:00:52.741372+00:00
ADA/USDT,1.074215,2022-01-23 19:00:53.961128+00:00
CRO/USDT,0.3627,2022-01-23 19:00:55.233394+00:00
SOL/USDT,96.41,2022-01-23 19:00:56.552907+00:00
UNI/USDT,11.1122,2022-01-23 19:00:57.848349+00:00
ZEC/USDT,92.869,2022-01-23 19:00:59.525509+00:00
XMR/USDT,152.22,2022-01-23 19:01:01.005455+00:00
FIL/USDT,18.886,2022-01-23 19:01:02.629672+00:00
BTC/USDT,36135.8,2022-01-24 19:00:58.628057+00:00
ETH/USDT,2383.98,2022-01-24 19:01:00.193537+00:00
ADA/USDT,1.043248,2022-01-24 19:01:01.577437+00:00
CRO/USDT,0.3636,2022-01-24 19:01:03.236523+00:00
SOL/USDT,90.151,2022-01-24 19:01:04.671887+00:00
UNI/USDT,10.469,2022-01-24 19:01:06.105918+00:00
ZEC/USDT,90.763,2022-01-24 19:01:07.637331+00:00
XMR/USDT,145.02,2022-01-24 19:01:09.417567+00:00
FIL/USDT,17.9665,2022-01-24 19:01:12.907985+00:00
BTC/USDT,37346.3,2022-01-25 19:00:54.742667+00:00
ETH/USDT,2499.46,2022-01-25 19:00:55.995422+00:00
ADA/USDT,1.071563,2022-01-25 19:00:57.207188+00:00
CRO/USDT,0.3968,2022-01-25 19:00:58.449458+00:00
SOL/USDT,99.76,2022-01-25 19:00:59.662559+00:00
UNI/USDT,10.9132,2022-01-25 19:01:00.900933+00:00
ZEC/USDT,93.766,2022-01-25 19:01:02.908715+00:00
XMR/USDT,146.19,2022-01-25 19:01:04.969473+00:00
FIL/USDT,18.477,2022-01-25 19:01:06.195243+00:00
BTC/USDT,38138.2,2022-01-26 19:00:55.570999+00:00
ETH/USDT,2625.03,2022-01-26 19:00:56.867932+00:00
ADA/USDT,1.107091,2022-01-26 19:00:58.100854+00:00
CRO/USDT,0.4192,2022-01-26 19:00:59.433484+00:00
SOL/USDT,99.074,2022-01-26 19:01:00.721205+00:00
UNI/USDT,11.2262,2022-01-26 19:01:02.568564+00:00
ZEC/USDT,94.442,2022-01-26 19:01:04.805322+00:00
XMR/USDT,155.2,2022-01-26 19:01:06.521366+00:00
FIL/USDT,19.2272,2022-01-26 19:01:08.945627+00:00
BTC/USDT,36270.6,2022-01-27 19:00:53.160667+00:00
ETH/USDT,2439.68,2022-01-27 19:00:55.369624+00:00
ADA/USDT,1.035921,2022-01-27 19:00:57.071988+00:00
CRO/USDT,0.3949,2022-01-27 19:00:58.283728+00:00
SOL/USDT,91.33,2022-01-27 19:00:59.507168+00:00
UNI/USDT,10.5684,2022-01-27 19:01:00.853247+00:00
ZEC/USDT,89.728,2022-01-27 19:01:03.197538+00:00
XMR/USDT,146.43,2022-01-27 19:01:05.085103+00:00
FIL/USDT,19.2861,2022-01-27 19:01:06.535464+00:00
BTC/USDT,37067.2,2022-01-28 19:00:50.317627+00:00
ETH/USDT,2473.89,2022-01-28 19:00:52.185559+00:00
ADA/USDT,1.035962,2022-01-28 19:00:53.572705+00:00
CRO/USDT,0.4119,2022-01-28 19:00:54.895604+00:00
SOL/USDT,92.139,2022-01-28 19:00:56.125427+00:00
UNI/USDT,10.4163,2022-01-28 19:00:57.437705+00:00
ZEC/USDT,89.353,2022-01-28 19:00:58.670018+00:00
XMR/USDT,146.0,2022-01-28 19:01:00.017554+00:00
FIL/USDT,19.2872,2022-01-28 19:01:01.741496+00:00
BTC/USDT,37806.1,2022-01-29 19:00:56.946392+00:00
ETH/USDT,2592.81,2022-01-29 19:00:58.339108+00:00
ADA/USDT,1.06039,2022-01-29 19:00:59.775972+00:00
CRO/USDT,0.4353,2022-01-29 19:01:00.993222+00:00
SOL/USDT,94.898,2022-01-29 19:01:02.495785+00:00
UNI/USDT,11.0166,2022-01-29 19:01:04.293350+00:00
ZEC/USDT,95.325,2022-01-29 19:01:05.564278+00:00
XMR/USDT,151.53,2022-01-29 19:01:08.161615+00:00
FIL/USDT,20.2672,2022-01-29 19:01:11.573545+00:00
