Coin,Price,Time
XMR/USDT,209.5,2021-12-08 19:01:13.632372+00:00
FIL/USDT,40.5031,2021-12-08 19:01:15.782120+00:00
BTC/USDT,47795.5,2021-12-09 19:01:03.677701+00:00
ETH/USDT,4129.21,2021-12-09 19:01:06.255839+00:00
ADA/USDT,1.305726,2021-12-09 19:01:08.597565+00:00
CRO/USDT,0.5722,2021-12-09 19:01:10.552943+00:00
SOL/USDT,181.0,2021-12-09 19:01:15.305069+00:00
UNI/USDT,16.308,2021-12-09 19:01:20.825477+00:00
ZEC/USDT,165.509,2021-12-09 19:01:23.085474+00:00
XMR/USDT,189.52,2021-12-09 19:01:27.988474+00:00
FIL/USDT,37.9291,2021-12-09 19:01:30.829448+00:00
BTC/USDT,47819.7,2021-12-10 19:00:53.111200+00:00
ETH/USDT,3983.0,2021-12-10 19:00:54.939698+00:00
ADA/USDT,1.258451,2021-12-10 19:00:56.388746+00:00
CRO/USDT,0.5628,2021-12-10 19:00:58.051110+00:00
SOL/USDT,171.601,2021-12-10 19:01:00.337582+00:00
UNI/USDT,15.45,2021-12-10 19:01:02.132339+00:00
ZEC/USDT,166.632,2021-12-10 19:01:04.317962+00:00
XMR/USDT,191.6,2021-12-10 19:01:05.837293+00:00
FIL/USDT,40.4161,2021-12-10 19:01:07.123298+00:00
BTC/USDT,48707.6,2021-12-11 19:00:59.058168+00:00
ETH/USDT,4040.33,2021-12-11 19:01:00.977804+00:00
ADA/USDT,1.303911,2021-12-11 19:01:02.378268+00:00
CRO/USDT,0.5675,2021-12-11 19:01:04.198569+00:00
SOL/USDT,168.467,2021-12-11 19:01:05.862517+00:00
UNI/USDT,15.8808,2021-12-11 19:01:08.422364+00:00
ZEC/USDT,166.996,2021-12-11 19:01:13.567021+00:00
XMR/USDT,195.83,2021-12-11 19:01:17.589478+00:00
FIL/USDT,39.7589,2021-12-11 19:01:21.799680+00:00
BTC/USDT,50492.2,2021-12-12 19:00:56.096791+00:00
ETH/USDT,4152.45,2021-12-12 19:00:58.088952+00:00
ADA/USDT,1.369601,2021-12-12 19:00:59.870958+00:00
CRO/USDT,0.6134,2021-12-12 19:01:01.441710+00:00
SOL/USDT,175.273,2021-12-12 19:01:03.238095+00:00
UNI/USDT,16.113,2021-12-12 19:01:05.555133+00:00
ZEC/USDT,171.34,2021-12-12 19:01:07.356463+00:00
XMR/USDT,200.48,2021-12-12 19:01:11.164609+00:00
FIL/USDT,40.21,2021-12-12 19:01:15.008744+00:00
BTC/USDT,47380.7,2021-12-13 19:00:57.681694+00:00
ETH/USDT,3818.01,2021-12-13 19:00:59.296115+00:00
ADA/USDT,1.232782,2021-12-13 19:01:01.133969+00:00
CRO/USDT,0.5437,2021-12-13 19:01:02.517790+00:00
SOL/USDT,156.581,2021-12-13 19:01:03.909795+00:00
UNI/USDT,14.5529,2021-12-13 19:01:05.761886+00:00
ZEC/USDT,150.752,2021-12-13 19:01:09.684400+00:00
XMR/USDT,187.77,2021-12-13 19:01:12.613810+00:00
FIL/USDT,36.53,2021-12-13 19:01:16.661999+00:00
BTC/USDT,46693.7,2021-12-14 19:00:49.736998+00:00
ETH/USDT,3751.75,2021-12-14 19:00:51.822144+00:00
ADA/USDT,1.226,2021-12-14 19:00:53.054216+00:00
CRO/USDT,0.5229,2021-12-14 19:00:54.546814+00:00
SOL/USDT,153.545,2021-12-14 19:00:55.812660+00:00
UNI/USDT,14.4085,2021-12-14 19:00:57.113637+00:00
ZEC/USDT,145.182,2021-12-14 19:00:58.367685+00:00
XMR/USDT,181.51,2021-12-14 19:00:59.883472+00:00
FIL/USDT,36.5747,2021-12-14 19:01:01.189067+00:00
BTC/USDT,47449.1,2021-12-15 19:00:56.223380+00:00
ETH/USDT,3794.22,2021-12-15 19:00:57.700336+00:00
ADA/USDT,1.244232,2021-12-15 19:00:59.043049+00:00
CRO/USDT,0.525,2021-12-15 19:01:00.412514+00:00
SOL/USDT,167.996,2021-12-15 19:01:01.855371+00:00
UNI/USDT,14.5839,2021-12-15 19:01:03.867368+00:00
ZEC/USDT,148.736,2021-12-15 19:01:05.392626+00:00
XMR/USDT,182.15,2021-12-15 19:01:06.702964+00:00
FIL/USDT,36.4883,2021-12-15 19:01:08.571287+00:00
BTC/USDT,47977.0,2021-12-16 19:00:56.121566+00:00
ETH/USDT,4024.85,2021-12-16 19:00:57.515975+00:00
ADA/USDT,1.274579,2021-12-16 19:00:58.724704+00:00
CRO/USDT,0.5548,2021-12-16 19:00:59.924989+00:00
SOL/USDT,183.15,2021-12-16 19:01:01.220446+00:00
UNI/USDT,14.6655,2021-12-16 19:01:02.744508+00:00
ZEC/USDT,159.965,2021-12-16 19:01:04.861432+00:00
XMR/USDT,194.78,2021-12-16 19:01:06.109813+00:00
FIL/USDT,37.7228,2021-12-16 19:01:07.853425+00:00
BTC/USDT,46978.7,2021-12-17 19:00:52.849555+00:00
ETH/USDT,3898.98,2021-12-17 19:00:54.188755+00:00
ADA/USDT,1.23333,2021-12-17 19:00:55.579836+00:00
CRO/USDT,0.5301,2021-12-17 19:00:57.132712+00:00
SOL/USDT,178.043,2021-12-17 19:00:58.336903+00:00
UNI/USDT,14.5825,2021-12-17 19:00:59.878672+00:00
ZEC/USDT,150.879,2021-12-17 19:01:01.099347+00:00
XMR/USDT,184.04,2021-12-17 19:01:02.537609+00:00
FIL/USDT,36.2092,2021-12-17 19:01:04.353012+00:00
BTC/USDT,46725.0,2021-12-18 19:00:51.568901+00:00
ETH/USDT,3942.38,2021-12-18 19:00:52.848637+00:00
ADA/USDT,1.243251,2021-12-18 19:00:54.147474+00:00
CRO/USDT,0.5274,2021-12-18 19:00:55.458694+00:00
SOL/USDT,181.647,2021-12-18 19:00:56.664026+00:00
UNI/USDT,15.8702,2021-12-18 19:00:57.924993+00:00
ZEC/USDT,159.33,2021-12-18 19:00:59.152354+00:00
XMR/USDT,181.29,2021-12-18 19:01:00.657297+00:00
FIL/USDT,36.3676,2021-12-18 19:01:02.181538+00:00
BTC/USDT,47112.7,2021-12-19 19:00:50.193737+00:00
ETH/USDT,3933.81,2021-12-19 19:00:51.686324+00:00
ADA/USDT,1.25657,2021-12-19 19:00:53.471439+00:00
CRO/USDT,0.519,2021-12-19 19:00:54.682578+00:00
SOL/USDT,182.974,2021-12-19 19:00:55.895810+00:00
UNI/USDT,15.0874,2021-12-19 19:00:57.256420+00:00
ZEC/USDT,160.547,2021-12-19 19:00:58.509551+00:00
XMR/USDT,182.04,2021-12-19 19:00:59.741488+00:00
FIL/USDT,36.2223,2021-12-19 19:01:01.148478+00:00
BTC/USDT,46246.6,2021-12-20 19:00:54.321437+00:00
ETH/USDT,3849.12,2021-12-20 19:00:56.513481+00:00
ADA/USDT,1.223651,2021-12-20 19:00:57.929386+00:00
CRO/USDT,0.4861,2021-12-20 19:01:00.371442+00:00
SOL/USDT,174.779,2021-12-20 19:01:01.597541+00:00
UNI/USDT,14.3499,2021-12-20 19:01:03.062095+00:00
ZEC/USDT,153.102,2021-12-20 19:01:04.637391+00:00
XMR/USDT,188.06,2021-12-20 19:01:06.041834+00:00
FIL/USDT,34.5025,2021-12-20 19:01:08.209332+00:00
